ciclo,userId,contratoId,intento_exitoso,operacion_exitosa,token_valido,caso
1,empleado_2,7,False,False,True,caso3
2,empleado_2,2,False,False,False,caso2
3,empleado_1,5,False,False,True,caso3
4,empleado_1,1,False,False,False,caso2
5,aspirante_1,1,False,False,True,caso4
6,aspirante_3,3,False,False,True,caso4
7,empleado_4,4,True,True,True,caso1
8,aspirante_1,1,False,False,True,caso4
9,empleado_4,4,True,True,True,caso1
10,empleado_3,3,False,False,False,caso2
11,empleado_3,6,False,False,True,caso3
12,aspirante_1,1,False,False,True,caso4
13,empleado_1,1,False,False,False,caso2
14,empleado_1,1,True,True,True,caso1
15,empleado_3,3,True,True,True,caso1
16,empleado_3,3,True,True,True,caso1
17,aspirante_2,2,False,False,True,caso4
18,empleado_4,4,True,True,True,caso1
19,empleado_4,4,True,True,True,caso1
20,empleado_2,2,True,True,True,caso1
21,empleado_3,6,False,False,True,caso3
22,empleado_3,7,False,False,True,caso3
23,empleado_2,2,True,True,True,caso1
24,empleado_1,1,True,True,True,caso1
25,empleado_4,7,False,False,True,caso3
26,empleado_4,4,False,False,False,caso2
27,empleado_1,1,True,True,True,caso1
28,aspirante_1,1,False,False,True,caso4
29,empleado_4,4,True,True,True,caso1
30,aspirante_2,2,False,False,True,caso4
31,empleado_3,3,False,False,False,caso2
32,aspirante_2,2,False,False,True,caso4
33,empleado_3,3,False,False,False,caso2
34,empleado_1,1,False,False,False,caso2
35,aspirante_4,4,False,False,True,caso4
36,empleado_3,6,False,False,True,caso3
37,empleado_3,5,False,False,True,caso3
38,empleado_2,5,False,False,True,caso3
39,empleado_1,1,True,True,True,caso1
40,empleado_4,4,True,True,True,caso1
41,aspirante_1,1,False,False,True,caso4
42,empleado_3,3,True,True,True,caso1
43,empleado_1,1,False,False,False,caso2
44,empleado_1,7,False,False,True,caso3
45,empleado_1,1,False,False,False,caso2
46,empleado_2,2,True,True,True,caso1
47,empleado_3,3,False,False,False,caso2
48,empleado_4,4,True,True,True,caso1
49,aspirante_1,1,False,False,True,caso4
50,empleado_2,9,False,False,True,caso3
51,aspirante_2,2,False,False,True,caso4
52,empleado_4,4,True,True,True,caso1
53,empleado_3,3,True,True,True,caso1
54,empleado_3,3,True,True,True,caso1
55,empleado_4,4,True,True,True,caso1
56,empleado_4,4,True,True,True,caso1
57,empleado_1,1,True,True,True,caso1
58,empleado_4,4,True,True,True,caso1
59,empleado_2,2,True,True,True,caso1
60,empleado_2,2,True,True,True,caso1
61,aspirante_4,4,False,False,True,caso4
62,empleado_3,3,True,True,True,caso1
63,aspirante_2,2,False,False,True,caso4
64,empleado_4,4,True,True,True,caso1
65,empleado_3,6,False,False,True,caso3
66,empleado_4,4,False,False,False,caso2
67,empleado_2,2,True,True,True,caso1
68,aspirante_1,1,False,False,True,caso4
69,empleado_4,4,False,False,False,caso2
70,empleado_2,2,True,True,True,caso1
71,empleado_4,4,True,True,True,caso1
72,empleado_3,3,False,False,False,caso2
73,empleado_3,3,True,True,True,caso1
74,empleado_3,3,True,True,True,caso1
75,empleado_4,5,False,False,True,caso3
76,empleado_2,2,True,True,True,caso1
77,empleado_2,2,True,True,True,caso1
78,empleado_4,9,False,False,True,caso3
79,empleado_1,1,False,False,False,caso2
80,empleado_1,1,True,True,True,caso1
81,empleado_2,2,True,True,True,caso1
82,empleado_3,3,True,True,True,caso1
83,empleado_4,4,True,True,True,caso1
84,aspirante_1,1,False,False,True,caso4
85,empleado_2,2,True,True,True,caso1
86,empleado_1,6,False,False,True,caso3
87,empleado_2,9,False,False,True,caso3
88,empleado_1,8,False,False,True,caso3
89,empleado_2,2,True,True,True,caso1
90,empleado_4,4,True,True,True,caso1
91,empleado_1,1,False,False,False,caso2
92,empleado_1,1,True,True,True,caso1
93,empleado_1,8,False,False,True,caso3
94,empleado_2,2,True,True,True,caso1
95,empleado_4,4,False,False,False,caso2
96,empleado_4,4,False,False,False,caso2
97,empleado_4,4,True,True,True,caso1
98,empleado_2,2,True,True,True,caso1
99,empleado_1,1,True,True,True,caso1
100,empleado_4,4,False,False,False,caso2
101,empleado_2,5,False,False,True,caso3
102,empleado_4,4,True,True,True,caso1
103,empleado_2,2,True,True,True,caso1
104,empleado_3,3,False,False,False,caso2
105,empleado_1,1,True,True,True,caso1
106,empleado_3,8,False,False,True,caso3
107,empleado_4,4,True,True,True,caso1
108,empleado_4,4,True,True,True,caso1
