ciclo,userId,contratoId,intento_exitoso,operacion_exitosa,token_valido,caso
1,empleado_3,3,True,True,True,caso1
2,empleado_3,4,False,False,True,caso3
3,empleado_4,4,True,True,True,caso1
4,empleado_2,4,False,False,True,caso3
5,empleado_3,2,False,False,True,caso3
6,empleado_2,3,False,False,True,caso3
7,empleado_2,2,False,False,False,caso2
8,empleado_2,3,False,False,True,caso3
9,aspirante_3,1,False,False,True,caso5
10,aspirante_4,4,False,False,True,caso4
11,aspirante_4,2,False,False,True,caso5
12,empleado_1,1,True,True,True,caso1
13,empleado_4,4,False,False,False,caso2
14,aspirante_4,2,False,False,True,caso5
15,aspirante_4,4,False,False,True,caso4
16,empleado_3,3,True,True,True,caso1
17,aspirante_1,2,False,False,True,caso5
18,aspirante_1,1,False,False,True,caso4
19,empleado_3,3,True,True,True,caso1
20,empleado_2,2,False,False,False,caso2
21,aspirante_1,2,False,False,True,caso5
22,aspirante_1,1,False,False,True,caso4
23,empleado_4,4,False,False,False,caso2
24,empleado_2,2,False,False,False,caso2
25,empleado_2,2,True,True,True,caso1
26,aspirante_2,4,False,False,True,caso5
27,aspirante_3,4,False,False,True,caso5
28,aspirante_3,1,False,False,True,caso5
29,empleado_1,1,True,True,True,caso1
30,empleado_1,3,False,False,True,caso3
31,empleado_4,4,True,True,True,caso1
32,aspirante_3,3,False,False,True,caso4
33,aspirante_2,3,False,False,True,caso5
34,empleado_2,2,False,False,False,caso2
35,empleado_3,3,False,False,False,caso2
36,empleado_3,2,False,False,True,caso3
37,empleado_2,2,True,True,True,caso1
38,aspirante_1,2,False,False,True,caso5
39,aspirante_4,4,False,False,True,caso4
40,empleado_1,2,False,False,True,caso3
41,empleado_2,2,False,False,False,caso2
42,empleado_1,3,False,False,True,caso3
43,aspirante_3,3,False,False,True,caso4
44,aspirante_1,2,False,False,True,caso5
45,empleado_2,2,False,False,False,caso2
46,empleado_2,2,True,True,True,caso1
47,empleado_4,4,False,False,False,caso2
48,aspirante_1,3,False,False,True,caso5
49,empleado_3,3,True,True,True,caso1
50,empleado_3,3,True,True,True,caso1
51,empleado_1,4,False,False,True,caso3
52,aspirante_2,1,False,False,True,caso5
53,empleado_4,4,False,False,False,caso2
54,aspirante_4,1,False,False,True,caso5
55,aspirante_4,4,False,False,True,caso4
56,empleado_2,2,False,False,False,caso2
57,empleado_3,3,False,False,False,caso2
58,empleado_4,3,False,False,True,caso3
59,empleado_1,1,True,True,True,caso1
60,empleado_4,4,False,False,False,caso2
61,aspirante_3,1,False,False,True,caso5
62,empleado_2,2,True,True,True,caso1
63,empleado_2,2,False,False,False,caso2
64,empleado_1,1,True,True,True,caso1
65,empleado_3,4,False,False,True,caso3
66,aspirante_1,1,False,False,True,caso4
67,empleado_1,1,False,False,False,caso2
68,empleado_1,1,False,False,False,caso2
69,empleado_2,2,False,False,False,caso2
70,empleado_1,1,True,True,True,caso1
71,aspirante_3,2,False,False,True,caso5
72,empleado_2,1,False,False,True,caso3
73,aspirante_4,4,False,False,True,caso4
74,aspirante_2,4,False,False,True,caso5
75,empleado_3,3,True,True,True,caso1
76,empleado_4,4,True,True,True,caso1
77,empleado_2,2,True,True,True,caso1
78,aspirante_4,4,False,False,True,caso4
79,empleado_1,1,True,True,True,caso1
80,aspirante_1,4,False,False,True,caso5
81,aspirante_1,1,False,False,True,caso4
82,empleado_2,2,False,False,False,caso2
83,aspirante_2,2,False,False,True,caso4
84,aspirante_2,2,False,False,True,caso4
85,empleado_4,4,True,True,True,caso1
86,empleado_1,1,False,False,False,caso2
87,empleado_1,1,True,True,True,caso1
88,empleado_2,4,False,False,True,caso3
89,empleado_1,1,True,True,True,caso1
90,empleado_2,2,False,False,False,caso2
91,empleado_1,3,False,False,True,caso3
92,aspirante_1,2,False,False,True,caso5
93,empleado_2,2,True,True,True,caso1
94,empleado_1,3,False,False,True,caso3
95,empleado_4,1,False,False,True,caso3
96,empleado_4,4,False,False,False,caso2
97,empleado_2,2,False,False,False,caso2
98,aspirante_4,3,False,False,True,caso5
99,aspirante_3,1,False,False,True,caso5
100,aspirante_3,3,False,False,True,caso4
101,empleado_4,4,False,False,False,caso2
102,aspirante_2,4,False,False,True,caso5
103,aspirante_1,3,False,False,True,caso5
104,empleado_1,2,False,False,True,caso3
105,empleado_2,2,True,True,True,caso1
106,empleado_1,1,False,False,False,caso2
107,empleado_1,3,False,False,True,caso3
108,empleado_3,4,False,False,True,caso3
109,empleado_4,4,True,True,True,caso1
110,empleado_4,4,False,False,False,caso2
111,aspirante_3,2,False,False,True,caso5
112,aspirante_1,4,False,False,True,caso5
113,aspirante_4,3,False,False,True,caso5
114,empleado_2,2,False,False,False,caso2
115,aspirante_4,4,False,False,True,caso4
116,aspirante_1,1,False,False,True,caso4
